person,ok,byte_errors
Michael_Jordan,0,31
Michael_Keaton,1,28
Michael_Leavitt,1,28
Michael_Moore,0,29
Michael_Patrick_King,1,27
Michael_Sullivan,1,28
Michael_Winterbottom,0,31
Michel_Duclos,1,28
Michel_Temer,1,26
Michel_Therrien,0,31
Michelle_Branch,1,28
Michelle_Collins,1,27
Michelle_Pfeiffer,0,32
Michelle_Rodriguez,0,31
Miguel_Contreras,0,32
Miguel_Estrada,0,30
Mike_Babcock,0,31
Mike_Brey,0,31
Mike_Helton,1,28
Mike_Holmgren,0,30
Mike_Miller,0,29
Mike_Montgomery,1,25
Mike_Price,0,31
Mike_Scioscia,1,28
Mike_Tyson,0,30
Mikhail_Gorbachev,0,29
Mikhail_Kasyanov,0,32
Mikhail_Wehbe,1,28
Mikhail_Youzhny,1,28
Mikulas_Dzurinda,1,28
Milo_Djukanovic,0,31
Milo_Maestrecampo,0,30
Minnie_Driver,1,28
Miroljub,1,27
Mitchell_Daniels,1,28
Mitoji_Yabunaka,0,29
Miyako_Miyazaki,0,29
Mohamed_Benaissa,0,30
Mohammed_Baqir_al-Hakim,0,29
Monica_Bellucci,1,28
Monica_Lewinsky,0,29
Monique_Garbrecht-Enfeldt,0,32
Moshe_Katsav,0,30
Muammar_Gaddafi,0,31
Mukesh_Ambani,0,29
Munir_Akram,0,29
Nadia_Petrova,0,29
Nadine_Vinzens,0,32
Nan_Wang,1,28
Nancy_Demme,1,24
Nancy_Reagan,0,31
Nancy_Sinatra,0,32
Nanni_Moretti,0,29
Naomi_Campbell,0,29
Naoto_Kan,1,22
Nasser_al-Kidwa,0,29
Nastassia_Kinski,1,24
Natalie_Cole,1,28
Natasha_McElhone,1,22
Nathalie_Baye,0,29
Nathan_Lane,0,31
Nebojsa_Pavkovic,0,29
Nelson_Mandela,0,29
Neri_Marcore,1,28
Nicholas_Byron,1,28
Nicholas_Tse,0,31
Nicolas_Cage,0,30
Nicolas_Escude,0,30
Nicolas_Lapentti,1,28
Nikki_Reed,1,27
Noah_Wyle,1,28
Noelle_Bush,0,29
Nora_Bendijo,0,32
Norman_Jewison,1,26
