attack_type,attempts,blocked,block_rate,note
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
expired_st,1,1,1.00000000,
